,id,chartRating,type,title_id,title
125,/title/tt6966692/,8.2,movie,tt6966692,Green Book
126,/title/tt0071853/,8.2,movie,tt0071853,Monty Python and the Holy Grail
127,/title/tt0372784/,8.2,movie,tt0372784,Batman Begins
128,/title/tt0055630/,8.2,movie,tt0055630,Yojimbo
129,/title/tt0042876/,8.2,movie,tt0042876,Rashomon
130,/title/tt0363163/,8.2,movie,tt0363163,Downfall
131,/title/tt0118849/,8.2,movie,tt0118849,Children of Heaven
132,/title/tt0105695/,8.2,movie,tt0105695,Unforgiven
133,/title/tt0089881/,8.2,movie,tt0089881,Ran
134,/title/tt0053291/,8.2,movie,tt0053291,Some Like It Hot
135,/title/tt0347149/,8.2,movie,tt0347149,Howl's Moving Castle
136,/title/tt0042192/,8.2,movie,tt0042192,All About Eve
137,/title/tt0112641/,8.2,movie,tt0112641,Casino
138,/title/tt0268978/,8.2,movie,tt0268978,A Beautiful Mind
139,/title/tt0057115/,8.2,movie,tt0057115,The Great Escape
140,/title/tt0993846/,8.2,movie,tt0993846,The Wolf of Wall Street
141,/title/tt0457430/,8.2,movie,tt0457430,Pan's Labyrinth
142,/title/tt1305806/,8.1,movie,tt1305806,The Secret in Their Eyes
143,/title/tt0469494/,8.1,movie,tt0469494,There Will Be Blood
144,/title/tt0120735/,8.1,movie,tt0120735,"Lock, Stock and Two Smoking Barrels"
145,/title/tt0055031/,8.1,movie,tt0055031,Judgment at Nuremberg
146,/title/tt0096283/,8.1,movie,tt0096283,My Neighbor Totoro
147,/title/tt0081398/,8.1,movie,tt0081398,Raging Bull
148,/title/tt0040897/,8.1,movie,tt0040897,The Treasure of the Sierra Madre
149,/title/tt0046912/,8.1,movie,tt0046912,Dial M for Murder
150,/title/tt5027774/,8.1,movie,tt5027774,"Three Billboards Outside Ebbing, Missouri"
151,/title/tt1130884/,8.1,movie,tt1130884,Shutter Island
152,/title/tt0071315/,8.1,movie,tt0071315,Chinatown
153,/title/tt0015864/,8.1,movie,tt0015864,The Gold Rush
154,/title/tt0476735/,8.1,movie,tt0476735,My Father and My Son
155,/title/tt0477348/,8.1,movie,tt0477348,No Country for Old Men
156,/title/tt0434409/,8.1,movie,tt0434409,V for Vendetta
157,/title/tt2096673/,8.1,movie,tt2096673,Inside Out
158,/title/tt0080678/,8.1,movie,tt0080678,The Elephant Man
159,/title/tt0050976/,8.1,movie,tt0050976,The Seventh Seal
160,/title/tt0084787/,8.1,movie,tt0084787,The Thing
161,/title/tt1291584/,8.1,movie,tt1291584,Warrior
162,/title/tt0167404/,8.1,movie,tt0167404,The Sixth Sense
163,/title/tt0117951/,8.1,movie,tt0117951,Trainspotting
164,/title/tt0107290/,8.1,movie,tt0107290,Jurassic Park
165,/title/tt4729430/,8.1,movie,tt4729430,Klaus
166,/title/tt0120382/,8.1,movie,tt0120382,The Truman Show
167,/title/tt0031381/,8.1,movie,tt0031381,Gone with the Wind
168,/title/tt0266543/,8.1,movie,tt0266543,Finding Nemo
169,/title/tt0050986/,8.1,movie,tt0050986,Wild Strawberries
170,/title/tt0079944/,8.1,movie,tt0079944,Stalker
171,/title/tt0083658/,8.1,movie,tt0083658,Blade Runner
172,/title/tt0266697/,8.1,movie,tt0266697,Kill Bill: Vol. 1
173,/title/tt0353969/,8.1,movie,tt0353969,Memories of Murder
174,/title/tt0116282/,8.1,movie,tt0116282,Fargo
175,/title/tt0050212/,8.1,movie,tt0050212,The Bridge on the River Kwai
176,/title/tt3170832/,8.1,movie,tt3170832,Room
177,/title/tt3011894/,8.1,movie,tt3011894,Wild Tales
178,/title/tt1205489/,8.1,movie,tt1205489,Gran Torino
179,/title/tt0041959/,8.1,movie,tt0041959,The Third Man
180,/title/tt0046438/,8.1,movie,tt0046438,Tokyo Story
181,/title/tt0047296/,8.1,movie,tt0047296,On the Waterfront
182,/title/tt0077416/,8.1,movie,tt0077416,The Deer Hunter
183,/title/tt0107207/,8.1,movie,tt0107207,In the Name of the Father
184,/title/tt0978762/,8.1,movie,tt0978762,Mary and Max
185,/title/tt2278388/,8.1,movie,tt2278388,The Grand Budapest Hotel
186,/title/tt2267998/,8.1,movie,tt2267998,Gone Girl
187,/title/tt0112471/,8.1,movie,tt0112471,Before Sunrise
188,/title/tt0066763/,8.1,movie,tt0066763,Anand
189,/title/tt0264464/,8.1,movie,tt0264464,Catch Me If You Can
190,/title/tt2119532/,8.1,movie,tt2119532,Hacksaw Ridge
191,/title/tt0060827/,8.1,movie,tt0060827,Persona
192,/title/tt1392214/,8.1,movie,tt1392214,Prisoners
193,/title/tt8108198/,8.1,movie,tt8108198,Andhadhun
194,/title/tt0077711/,8.1,movie,tt0077711,Autumn Sonata
195,/title/tt0118715/,8.1,movie,tt0118715,The Big Lebowski
196,/title/tt0015324/,8.1,movie,tt0015324,Sherlock Jr.
197,/title/tt0035446/,8.1,movie,tt0035446,To Be or Not to Be
198,/title/tt0017925/,8.1,movie,tt0017925,The General
199,/title/tt0892769/,8.1,movie,tt0892769,How to Train Your Dragon
200,/title/tt1950186/,8.1,movie,tt1950186,Ford v Ferrari
201,/title/tt0072684/,8.1,movie,tt0072684,Barry Lyndon
202,/title/tt2024544/,8.1,movie,tt2024544,12 Years a Slave
203,/title/tt0116231/,8.1,movie,tt0116231,The Bandit
204,/title/tt0031679/,8.1,movie,tt0031679,Mr. Smith Goes to Washington
205,/title/tt1392190/,8.1,movie,tt1392190,Mad Max: Fury Road
206,/title/tt2948372/,8.1,movie,tt2948372,Soul
207,/title/tt0405159/,8.1,movie,tt0405159,Million Dollar Baby
